monumentna,,state,lat,long,coordinate,asicircle,district
Rock sculptures at Patharghatta,,Bihar,25.32965469,87.26119995,"25.32965469,24.770278",Patna Circle,Bhagalpur
Ancient mound in the valley known as Hansra Kol,,Bihar,24.770278,85.218333,"24.770278,24.76919409",Patna Circle,Gaya
Ancient mound in the hill known as Sobhnath,,Bihar,24.76919409,85.2185287,"24.76919409,25.835278",Patna Circle,Gaya
(i) All ancient structures and other monuments or remains and all artificial caves and mounds containing ancient remains within the limit of the said ancient city of Manjhi. (ii) Remains of the ancient city Manjhi,,Bihar,25.835278,84.574722,"25.835278,25.00588787",Patna Circle,Saran
Karan Chaupar cave,,Bihar,25.00588787,85.06299401,"25.00588787,25.00581345",Patna Circle,Jahanabad
Sudama cave,,Bihar,25.00581345,85.06277854,"25.00581345,25.02514839",Patna Circle,Jahanabad
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Giriyak Stupa),,Bihar,25.02514839,85.51295471,"25.02514839,25.0054512",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha(Stupa on Hill),,Bihar,25.0054512,85.45048523,"25.0054512,25.00174522",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha(Gridhkuta Stupa),,Bihar,25.00174522,85.44648743,"25.00174522,24.99542236",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Jivkamra Van),,Bihar,24.99542236,85.43548584,"24.99542236,24.9948597",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Bimbisar Jail),,Bihar,24.9948597,85.42914581,"24.9948597,24.98246002",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Newly Ex. Stupa),,Bihar,24.98246002,85.43038177,"24.98246002,24.98476601",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Chariot Wheel Mark),,Bihar,24.98476601,85.43130493,"24.98476601,26.4597168",Patna Circle,Nalanda
Remains of ancient fort or garh locally known as Raja Bali ka garh,,Bihar,26.4597168,86.32258606,"26.4597168,25.00191116",Patna Circle,Madhubani
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Maniyar Math),,Bihar,25.00191116,85.42235565,"25.00191116,25.00404358",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Son Bhandar),,Bihar,25.00404358,85.4168396,"25.00404358,24.99918175",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (JARASANDH KA Akhara),,Bihar,24.99918175,85.41204834,"24.99918175,25.00636101",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Mahadeo Temple),,Bihar,25.00636101,85.41188812,"25.00636101,25.00689507",Patna Circle,Nalanda
All ancient structures and other monuments or remains within the areas enclosed by the said walls of old & new rajgriha (Jain Temple),,Bihar,25.00689507,85.41165924,"25.00689507,25.6415596",Patna Circle,Nalanda
Tomb of Shah Makhdum Daulah Maneri and Ibrahim Khan,,Bihar,25.6415596,84.87378693,"25.6415596,26.986667",Patna Circle,Patna
Rampart of the fort and ruined fortress (Ruined fortress),,Bihar,26.986667,84.394167,"26.986667,26.9825367",Patna Circle,West Champaran
Rampart of the fort and ruined fortress (Rampart),,Bihar,26.9825367,84.39526409,"26.9825367,26.55027199",Patna Circle,West Champaran
Ashokan column known as Laur pillar,,Bihar,26.55027199,84.64746094,"26.55027199,25.02115934",Patna Circle,East Champaran
Walls of the two ancient cities known as old and new rajgriha,,Bihar,25.02115934,85.41794332,"25.02115934,25.01555525",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Venu Van),,Bihar,25.01555525,85.41783355,"25.01555525,25.01217439",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Bhim Baithaka),,Bihar,25.01217439,85.41787428,"25.01217439,25.00710566",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Saptparni Caves),,Bihar,25.00710566,85.41079482,"25.00710566,25.01773544",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Ajatshatru Stupa),,Bihar,25.01773544,85.42099533,"25.01773544,25.02014927",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Ashoka stupa),,Bihar,25.02014927,85.41488561,"25.02014927,25.01720913",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Stupa),,Bihar,25.01720913,85.41993188,"25.01720913,25.02208434",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Stupa),,Bihar,25.02208434,85.41262369,"25.02208434,25.02193119",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Stupa),,Bihar,25.02193119,85.41355896,"25.02193119,25.01943091",Patna Circle,Nalanda
All ancient structures and all artificial caves and mounds containing ancient remains which are situated within a distance of half a mile of said ancient cities known as old and new Rajgriha (Stupa),,Bihar,25.01943091,85.41971398,"25.01943091,25.00567933",Patna Circle,Nalanda
Lomas rishi cave,,Bihar,25.00567933,85.0630093,"25.00567933,25.0112381",Patna Circle,Jahanabad
Vadathika cave,,Bihar,25.0112381,85.0769043,"25.0112381,25.01119937",Patna Circle,Jahanabad
Vapiyaka cave,,Bihar,25.01119937,85.07693559,"25.01119937,25.58259332",Patna Circle,Jahanabad
Mounds known as the five stupas or panch pahari,,Bihar,25.58259332,85.19257077,"25.58259332,25.58826353",Patna Circle,Patna
The mound or stupa known as Chhoti Pahari,,Bihar,25.58826353,85.19361362,"25.58826353,25.30655878",Patna Circle,Patna
Two large mounds called Garha & Garhi,,Uttar Pradesh,25.30655878,81.78691028,"25.30655878,21.98733833",Sarnath Circle,Allahabad
Benisagar Tank and remains of temple and sculptures in survey plot no.322,,Jharkhand,21.98733833,85.88924953,"21.98733833,23.45381087",Ranchi Circle,West Singhbhum
"An ancient stone temple with Shiva lingam,",,Jharkhand,23.45381087,84.74677154,"23.45381087,25.07385556",Ranchi Circle,Lohardaga
Jami Masjid,,Jharkhand,25.07385556,87.77755,"25.07385556,25.07548889",Ranchi Circle,Sahebganj
Baradari building with probable underground cell,,Jharkhand,25.07548889,87.77971389,"25.07548889,22.75919167",Ranchi Circle,Sahebganj
"Ancient mound locally known as Kulugarha, Bansput  together with adjacent land, Survey plot No. 1095 and 1096",,Jharkhand,22.75919167,86.13258333,"22.75919167,22.62856389",Ranchi Circle,Saraikela Kharswan
"Site of an old fort,",,Jharkhand,22.62856389,86.38806389,"22.62856389,23.0565475",Ranchi Circle,East Singhbhum
"Asura site,",,Jharkhand,23.0565475,85.27447664,"23.0565475,23.04553056",Ranchi Circle,Khunti
"Asura site, Saridkel",,Jharkhand,23.04553056,85.33496944,"23.04553056,23.04341111",Ranchi Circle,Khunti
"Asura site,",,Jharkhand,23.04341111,85.25343333,"23.04341111,22.9788195",Ranchi Circle,Khunti
"Asura site,(Goratoli)",,Jharkhand,22.9788195,85.30931814,"22.9788195,22.9904",Ranchi Circle,Khunti
"Asura site,",,Jharkhand,22.9904,85.27861389,"22.9904,23.14646667",Ranchi Circle,Khunti
Temples at   Haradih,,Jharkhand,23.14646667,85.69431667,"23.14646667,23.61720661",Ranchi Circle,Ranchi
Kayatha temple,,Jharkhand,23.61720661,85.54461479,"23.61720661,21.98517778",Ranchi Circle,Ramgarh
Benisagar Tank and remains of temple and sculptures in survey plot no.322,,Jharkhand,21.98517778,85.89039167,"21.98517778,23.45260966",Ranchi Circle,West Singhbhum
"An ancient stone temple with Shiva lingam, Khekparta,",,Jharkhand,23.45260966,84.7475873,"23.45260966,23.45279722",Ranchi Circle,Lohardaga
"An ancient stone temple with Shiva lingam, Khekparta,",,Jharkhand,23.45279722,84.74695,"23.45279722,23.05560845",Ranchi Circle,Lohardaga
"Asura site,",,Jharkhand,23.05560845,85.27467286,"23.05560845,23.05591679",Ranchi Circle,Khunti
"Asura site,",,Jharkhand,23.05591679,85.27519143,"23.05591679,25.3141845",Ranchi Circle,Khunti
Large stone dwelling house of Alha & Udal,,Uttar Pradesh,25.3141845,81.71502032,"25.3141845,25.31755634",Sarnath Circle,Allahabad
Standing figure identified as Buddha Asvaghosha (SrigariDavi),,Uttar Pradesh,25.31755634,81.79240306,"25.31755634,25.19411939",Sarnath Circle,Allahabad
Inscription of three lines of the Indo-Scythian period,,Uttar Pradesh,25.19411939,81.73908836,"25.19411939,12.65591567",Sarnath Circle,Allahabad
Megalithic cists and cairns circles.,,Tamil Nadu,12.65591567,79.64536843,"12.65591567,12.91255773",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.91255773,79.94541438,"12.91255773,12.96388011",Chennai Circle,Kanchipuram
Megalithic cist,,Tamil Nadu,12.96388011,80.11424882,"12.96388011,12.68835438",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.68835438,80.0878449,"12.68835438,12.76388424",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.76388424,79.97267775,"12.76388424,11.1304991",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,11.1304991,78.88904594,"11.1304991,11.13409231",Chennai Circle,Perambalur
Megalithic cists and cairns,,Tamil Nadu,11.13409231,78.89087498,"11.13409231,10.44651987",Chennai Circle,Perambalur
"Prehistoric burial site, stone circle, and menhirs",,Tamil Nadu,10.44651987,78.69905599,"10.44651987,10.46017639",Chennai Circle,Pudukkottai
Prehistoric burial site,,Tamil Nadu,10.46017639,78.76369978,"10.46017639,10.50793477",Chennai Circle,Pudukkottai
Dolmens,,Tamil Nadu,10.50793477,78.86213037,"10.50793477,10.49663692",Chennai Circle,Pudukkottai
Prehistoric dolmens,,Tamil Nadu,10.49663692,78.90672471,"10.49663692,10.48709649",Chennai Circle,Pudukkottai
Prehistoric dolmens,,Tamil Nadu,10.48709649,78.91783213,"10.48709649,10.44201879",Chennai Circle,Pudukkottai
Prehistoric dolmens,,Tamil Nadu,10.44201879,78.60061505,"10.44201879,10.46877468",Chennai Circle,Pudukkottai
Prehistoric burial site,,Tamil Nadu,10.46877468,78.8479934,"10.46877468,10.48762795",Chennai Circle,Pudukkottai
Prehistoric burial site,,Tamil Nadu,10.48762795,78.77115082,"10.48762795,10.29901246",Chennai Circle,Pudukkottai
Cairns and urns,,Tamil Nadu,10.29901246,79.07784588,"10.29901246,12.90029806",Chennai Circle,Pudukkottai
North Eastern corner of the outer rampart of the old fort at Arcot,,Tamil Nadu,12.90029806,79.34692495,"12.90029806,12.90738694",Chennai Circle,Vellore
Delhi gate,,Tamil Nadu,12.90738694,79.33788552,"12.90738694,12.90085587",Chennai Circle,Vellore
Masjid and two ponds in the west of the citadel,,Tamil Nadu,12.90085587,79.33508049,"12.90085587,13.19755747",Chennai Circle,Vellore
Virgin group containing many barrows.,,Tamil Nadu,13.19755747,80.16671584,"13.19755747,13.2037291",Chennai Circle,Tiruvallur
Virgin group containing many barrows.,,Tamil Nadu,13.2037291,80.1646822,"13.2037291,10.60280269",Chennai Circle,Tiruvallur
Two lion pillars in the Vahanamantapam of the Subramanya temple,,Tamil Nadu,10.60280269,78.54613571,"10.60280269,12.8309543",Chennai Circle,Pudukkottai
Chandramalleswarar Temple,,Tamil Nadu,12.8309543,79.51999738,"12.8309543,12.48852894",Chennai Circle,Tiruvannamalai
Tirupuleswarar Temple,,Tamil Nadu,12.48852894,80.13014781,"12.48852894,10.40318778",Chennai Circle,Kanchipuram
Uttaadaniswara Temple,,Tamil Nadu,10.40318778,78.61148958,"10.40318778,13.10389317",Chennai Circle,Pudukkottai
Old Town Wall,,Tamil Nadu,13.10389317,80.28854146,"13.10389317,9.926346015",Chennai Circle,Chennai
Rock cut beds under natural rock shelter in Ammanamalai or Samanarmalai,,Tamil Nadu,9.926346015,78.0407885,"9.926346015,9.92265067",Chennai Circle,Madurai
Rock cut bas-relief of Jain images with inscriptions in Vatteluthu in Ammanamalai or Samanarmalai,,Tamil Nadu,9.92265067,78.04682372,"9.92265067,12.92755636",Chennai Circle,Madurai
Group of cairns,,Tamil Nadu,12.92755636,80.17198385,"12.92755636,12.90032418",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.90032418,80.08946129,"12.90032418,28.03897222",Chennai Circle,Kanchipuram
Jami Masjid,,Uttar Pradesh,28.03897222,79.12166667,"28.03897222,12.89624246",Agra Circle,Budaun
Megalithic cists,,Tamil Nadu,12.89624246,80.08676257,"12.89624246,11.74703113",Chennai Circle,Kanchipuram
Sri  Apath Sahayeswara Temple and gate way with horses,,Tamil Nadu,11.74703113,79.37837158,"11.74703113,12.86588399",Chennai Circle,Villupuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.86588399,80.08038738,"12.86588399,12.61955672",Chennai Circle,Kanchipuram
"Huge stone figures of a lion, elephant and a bull",,Tamil Nadu,12.61955672,80.19216721,"12.61955672,12.6195466",Chennai Circle,Kanchipuram
Kotikal Mantapa,,Tamil Nadu,12.6195466,80.19234357,"12.6195466,12.61877719",Chennai Circle,Kanchipuram
Two rock-cut cave Temples at the northeast corner of the Koneri Pallam Tank,,Tamil Nadu,12.61877719,80.19125426,"12.61877719,12.61748133",Chennai Circle,Kanchipuram
Unfinished Ratha and stone couch,,Tamil Nadu,12.61748133,80.19210496,"12.61748133,12.61550717",Chennai Circle,Kanchipuram
Unfinished Excavations Near Triple Celled Rock Cut Shrine,,Tamil Nadu,12.61550717,80.19204272,"12.61550717,12.89924627",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.89924627,79.96021293,"12.89924627,10.27287229",Chennai Circle,Kanchipuram
Dolmens near machur reserved forest,,Tamil Nadu,10.27287229,77.60679874,"10.27287229,10.27299755",Chennai Circle,Dindigul
Dolmens near machur reserved forest,,Tamil Nadu,10.27299755,77.60715662,"10.27299755,10.28736568",Chennai Circle,Dindigul
Dolmens,,Tamil Nadu,10.28736568,77.62914557,"10.28736568,10.26716811",Chennai Circle,Dindigul
Dolmens near talayar river on top of the hill,,Tamil Nadu,10.26716811,77.50135794,"10.26716811,12.87780465",Chennai Circle,Dindigul
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.87780465,80.01751705,"12.87780465,12.87045273",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.87045273,80.0157993,"12.87045273,12.82896785",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.82896785,80.06440649,"12.82896785,12.86728765",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.86728765,80.07837574,"12.86728765,10.27680249",Chennai Circle,Kanchipuram
Rajendracholiswaram Temple,,Tamil Nadu,10.27680249,78.5383157,"10.27680249,12.84974545",Chennai Circle,Pudukkottai
Lesser Siva Temple,,Tamil Nadu,12.84974545,79.8586338,"12.84974545,12.76292721",Chennai Circle,Kanchipuram
Venkatesaperumal Temple,,Tamil Nadu,12.76292721,79.86056743,"12.76292721,12.61644873",Chennai Circle,Kanchipuram
Aleva shore Temple,,Tamil Nadu,12.61644873,80.19935763,"12.61644873,12.84538908",Chennai Circle,Kanchipuram
Iravatanesvara Temple,,Tamil Nadu,12.84538908,79.7048868,"12.84538908,12.84545448",Chennai Circle,Kanchipuram
Piravathaneswara Temple,,Tamil Nadu,12.84545448,79.70602908,"12.84545448,11.40195994",Chennai Circle,Kanchipuram
Nitiswaraswami Temple,,Tamil Nadu,11.40195994,79.4069336,"11.40195994,11.24970361",Chennai Circle,Cuddalore
Jain Temple,,Tamil Nadu,11.24970361,77.50296436,"11.24970361,12.65589598",Chennai Circle,Erode
Tiger headed rock-cut Temple,,Tamil Nadu,12.65589598,80.20910617,"12.65589598,12.65787324",Chennai Circle,Kanchipuram
Rock cut Siva Temples with three lingas,,Tamil Nadu,12.65787324,80.20962634,"12.65787324,12.65902113",Chennai Circle,Kanchipuram
"Two inscribed rocks, one having six and the other fifty lines of ancient Tamil inscriptions with remains of other ancient buildings",,Tamil Nadu,12.65902113,80.20964398,"12.65902113,12.65911928",Chennai Circle,Kanchipuram
"Two inscribed rocks, one having six and the other fifty lines of ancient Tamil inscriptions with remains of other ancient buildings",,Tamil Nadu,12.65911928,80.2105724,"12.65911928,12.6171765",Chennai Circle,Kanchipuram
Dolotsava mandapa,,Tamil Nadu,12.6171765,80.19409456,"12.6171765,12.62023241",Chennai Circle,Kanchipuram
Eight stone images on a masonry Platform known as the “Seven pidaris”,,Tamil Nadu,12.62023241,80.19490038,"12.62023241,12.62714877",Chennai Circle,Kanchipuram
Mukundanayanar Temple (half buried in sand to the north of the village),,Tamil Nadu,12.62714877,80.19489376,"12.62714877,12.6152552",Chennai Circle,Kanchipuram
Vaikuntaperumal temple with adjacent land comprised in part of survey plot No.878/286,,Tamil Nadu,12.6152552,79.75826657,"12.6152552,10.46405662",Chennai Circle,Kanchipuram
Two Jain Tirthankara images in a coconut plantation,,Tamil Nadu,10.46405662,78.69593571,"10.46405662,10.19105151",Chennai Circle,Pudukkottai
Mennandar Pillayar Temple,,Tamil Nadu,10.19105151,78.84391124,"10.19105151,12.92044838",Chennai Circle,Pudukkottai
Fort,,Tamil Nadu,12.92044838,79.12851394,"12.92044838,12.92234243",Chennai Circle,Vellore
Jalakanteswara Temple,,Tamil Nadu,12.92234243,79.12918348,"12.92234243,12.92008672",Chennai Circle,Vellore
Old mosque in the fort,,Tamil Nadu,12.92008672,79.12924731,"12.92008672,12.23434702",Chennai Circle,Vellore
Outside the fort;- (1) Pattabirama            Temple  (2) Twelve-pillared                 Mandapa,,Tamil Nadu,12.23434702,79.40298956,"12.23434702,12.23447961",Chennai Circle,Villupuram
Outside the fort;- (1) Pattabirama            Temple  (2) Twelve-pillared                 Mandapa,,Tamil Nadu,12.23447961,79.40406457,"12.23447961,11.20645393",Chennai Circle,Villupuram
Brihadiswara Temple,,Tamil Nadu,11.20645393,79.44882708,"11.20645393,11.0260211",Chennai Circle,Perambalur
Town gate way,,Tamil Nadu,11.0260211,79.85196557,"11.0260211,11.14752852",Chennai Circle,Nagapattinam
Excavated Ramains of Buddhist Vihara and Temple at Pallavareswaram,,Tamil Nadu,11.14752852,79.83043891,"11.14752852,10.89883049",Chennai Circle,Nagapattinam
Rock,,Tamil Nadu,10.89883049,78.38896136,"10.89883049,10.78278756",Chennai Circle,Karur
Sivaganga little fort enclosing the Great Temple,,Tamil Nadu,10.78278756,79.13144309,"10.78278756,10.7855712",Chennai Circle,Thanjavur
Schwartz (Christ) Church,,Tamil Nadu,10.7855712,79.13120677,"10.7855712,9.507912899",Chennai Circle,Thanjavur
Tirumalai Nayak’s Palace,,Tamil Nadu,9.507912899,77.63229387,"9.507912899,11.91898859",Chennai Circle,Virudhunagar
Panchanadiswara (Vadugiswara) Temple,,Tamil Nadu,11.91898859,79.65705429,"11.91898859,11.92751865",Chennai Circle,Puducherry U.T
Todadrinatha Vishnu Temple,,Tamil Nadu,11.92751865,79.64761957,"11.92751865,11.80701234",Chennai Circle,Puducherry U.T
Moolanathaswamy Temple,,Tamil Nadu,11.80701234,79.74225323,"11.80701234,13.08069522",Chennai Circle,Puducherry U.T
Old British Infantry Officers Mess (Now housing the Fort Museum) Block No.XXXVI/2,,Tamil Nadu,13.08069522,80.28754449,"13.08069522,13.07870397",Chennai Circle,Chennai
St. Mary’s Church with tablets laid on the ground and enclosed by a compound and a buried wall,,Tamil Nadu,13.07870397,80.28652356,"13.07870397,13.07870295",Chennai Circle,Chennai
Clives House built in 1753,,Tamil Nadu,13.07870295,80.28591754,"13.07870295,12.61728613",Chennai Circle,Chennai
Mahishasura rock standing in the sea north of Shore Temple,,Tamil Nadu,12.61728613,80.19906777,"12.61728613,12.61443747",Chennai Circle,Kanchipuram
Two small carved rocks to the south of the shore temple,,Tamil Nadu,12.61443747,80.19794082,"12.61443747,12.52565676",Chennai Circle,Kanchipuram
Ruined Dutch Fort and cemetery,,Tamil Nadu,12.52565676,80.16358761,"12.52565676,10.67293464",Chennai Circle,Kanchipuram
"Jain image, stone lion and foundation of a temple",,Tamil Nadu,10.67293464,78.83914554,"10.67293464,10.54176811",Chennai Circle,Pudukkottai
"Muvarkoil with surrounding sub-Shrines, stone enclosure and stone well on the north-east corner",,Tamil Nadu,10.54176811,78.51917393,"10.54176811,10.53959183",Chennai Circle,Pudukkottai
Remains of Aivarkovil,,Tamil Nadu,10.53959183,78.52033789,"10.53959183,10.54211848",Chennai Circle,Pudukkottai
Remains of structural temple and antiquities,,Tamil Nadu,10.54211848,78.5190908,"10.54211848,10.57190212",Chennai Circle,Pudukkottai
Uttamanathaswami Siva Temple,,Tamil Nadu,10.57190212,78.78408666,"10.57190212,10.34357547",Chennai Circle,Pudukkottai
Whole of the Siva Temple and the inscribed stone in the front mantapam,,Tamil Nadu,10.34357547,78.53470325,"10.34357547,10.24714715",Chennai Circle,Pudukkottai
Stone and brick fort,,Tamil Nadu,10.24714715,78.75286001,"10.24714715,10.24880068",Chennai Circle,Pudukkottai
Stone and brick fort,,Tamil Nadu,10.24880068,78.75127637,"10.24880068,10.24572204",Chennai Circle,Pudukkottai
Stone and brick fort,,Tamil Nadu,10.24572204,78.7504091,"10.24572204,10.24703191",Chennai Circle,Pudukkottai
Rock-cut Siva Temple (Sathyyagiriswara shrine),,Tamil Nadu,10.24703191,78.75156764,"10.24703191,10.246826",Chennai Circle,Pudukkottai
Rock-cut Vishnu Temple – (Sathyamurti shrine),,Tamil Nadu,10.246826,78.75195849,"10.246826,10.46237782",Chennai Circle,Pudukkottai
Siva Temple,,Tamil Nadu,10.46237782,78.9763673,"10.46237782,12.44679869",Chennai Circle,Pudukkottai
Svambunathar Temple,,Tamil Nadu,12.44679869,79.51994089,"12.44679869,12.12457653",Chennai Circle,Tiruvannamalai
Sri Azhagiya Narasimma Perumal Temple,,Tamil Nadu,12.12457653,79.49204336,"12.12457653,12.11827043",Chennai Circle,Villupuram
Sri Pataleswara Temple,,Tamil Nadu,12.11827043,79.4812909,"12.11827043,11.90266924",Chennai Circle,Villupuram
"Arikamedu, early historic site",,Tamil Nadu,11.90266924,79.81993436,"11.90266924,9.811984596",Chennai Circle,Pondicherry
Karuppanaswami rock and Jain sculptures,,Tamil Nadu,9.811984596,77.33021319,"9.811984596,10.27520688",Chennai Circle,Theni
Dolmens,,Tamil Nadu,10.27520688,78.77958089,"10.27520688,9.873987952",Chennai Circle,Pudukkottai
Rock cut cave  and inscriptions,,Tamil Nadu,9.873987952,78.07068079,"9.873987952,10.79352912",Chennai Circle,Madurai
Big gun known as ‘Rajagopal’ in the east rampart and the bastion.,,Tamil Nadu,10.79352912,79.13899015,"10.79352912,12.76338525",Chennai Circle,Thanjavur
Nithya Kalyanaswami Temple,,Tamil Nadu,12.76338525,80.24186484,"12.76338525,11.74604947",Chennai Circle,Kanchipuram
Sri  Apath Sahayeswara Temple and gate way with horses,,Tamil Nadu,11.74604947,79.37680911,"11.74604947,9.878145057",Chennai Circle,Villupuram
Cavern with Panchapandava beds on western slope of the hills and similar beds behind the Sikkandar mosque on the top,,Tamil Nadu,9.878145057,78.06711831,"9.878145057,10.8266519",Chennai Circle,Madurai
Fort Gateway,,Tamil Nadu,10.8266519,78.69343585,"10.8266519,10.82800554",Chennai Circle,Trichy
(1) Lower cave (2) Path leading to                     the site in front of the lower cave(3) Path leading to the upper cave (4) Site in front of the lower cave (5) Upper cave,,Tamil Nadu,10.82800554,78.69712853,"10.82800554,10.79249112",Chennai Circle,Trichy
Siva (Erumbeswaraswami) Temple,,Tamil Nadu,10.79249112,78.76728652,"10.79249112,13.41873111",Chennai Circle,Trichy
Dutch Cemetery,,Tamil Nadu,13.41873111,80.31519475,"13.41873111,10.93410416",Chennai Circle,Tiruvallur
Ekambareswarar Temple,,Tamil Nadu,10.93410416,79.74320224,"10.93410416,13.08105342",Chennai Circle,Karaikal
King’s Barracks Block No.XXV,,Tamil Nadu,13.08105342,80.28606757,"13.08105342,13.07837013",Chennai Circle,Chennai
"Big Warehouse, south of the Church Library (in Block No.II/7).",,Tamil Nadu,13.07837013,80.28669068,"13.07837013,13.07788967",Chennai Circle,Chennai
Last house on the left of ‘Snobs Allay’ (oldest house in theFort with carved staircase) – Block No.I/1,,Tamil Nadu,13.07788967,80.28686325,"13.07788967,10.3675078",Chennai Circle,Chennai
Sarangatheeswara Temple known as Thiruvagneeswaran Temple,,Tamil Nadu,10.3675078,78.6935671,"10.3675078,10.33382292",Chennai Circle,Pudukkottai
Rock-cut shrine of Pushpavaneswara,,Tamil Nadu,10.33382292,78.62556152,"10.33382292,10.22194209",Chennai Circle,Pudukkottai
Jain Tirthankara Idol,,Tamil Nadu,10.22194209,78.8017491,"10.22194209,12.61907735",Chennai Circle,Pudukkottai
Krishna’s Butterball,,Tamil Nadu,12.61907735,80.19240736,"12.61907735,12.61770713",Chennai Circle,Kanchipuram
Arjuna’s Penance,,Tamil Nadu,12.61770713,80.19262831,"12.61770713,12.61840539",Chennai Circle,Kanchipuram
Rock-cut Ganesa Temple,,Tamil Nadu,12.61840539,80.19250305,"12.61840539,12.61758999",Chennai Circle,Kanchipuram
Royagopuram (unfinished),,Tamil Nadu,12.61758999,80.19232001,"12.61758999,12.61451644",Chennai Circle,Kanchipuram
Dharmaraja’s Rock cut throne,,Tamil Nadu,12.61451644,80.19160262,"12.61451644,12.61511346",Chennai Circle,Kanchipuram
Iswara Temple,,Tamil Nadu,12.61511346,80.19140265,"12.61511346,12.61736728",Chennai Circle,Kanchipuram
Krishna Madapa,,Tamil Nadu,12.61736728,80.19254884,"12.61736728,12.61508179",Chennai Circle,Kanchipuram
Large unfinished rock sculpture similar to Arjuna’s Penance near the light-house,,Tamil Nadu,12.61508179,80.19227941,"12.61508179,12.61517429",Chennai Circle,Kanchipuram
Mahishamardhani rock cut Mandapa,,Tamil Nadu,12.61517429,80.19152715,"12.61517429,13.08246454",Chennai Circle,Kanchipuram
"Ramparts, gates bastions, Ravelins with vaulted chambers and water cisterns underneath; moat and defense walls all round with glacis to the extent of the existing barbed wire fence",,Tamil Nadu,13.08246454,80.28572725,"13.08246454,13.07830341",Chennai Circle,Chennai
Nursing Sister’s House (Block 1/3),,Tamil Nadu,13.07830341,80.28698994,"13.07830341,13.07791397",Chennai Circle,Chennai
Fort St. George “Arsenal” between Wellesley house and Clive’s House with shells and cannons piled together near the Gateway Block IV/1-12 and 14-18,,Tamil Nadu,13.07791397,80.28652789,"13.07791397,13.07773846",Chennai Circle,Chennai
"Wellesley House (Built in 1798), Block No.IV/13",,Tamil Nadu,13.07773846,80.28566099,"13.07773846,13.07820327",Chennai Circle,Chennai
Garrisons Engineer’s Depot  Block No.IV,,Tamil Nadu,13.07820327,80.28488807,"13.07820327,13.07948946",Chennai Circle,Chennai
Guard Room Block No.V,,Tamil Nadu,13.07948946,80.28587883,"13.07948946,13.07750073",Chennai Circle,Chennai
Chaplain’s house including portion which the northern side of the Old WallII/1,,Tamil Nadu,13.07750073,80.28662989,"13.07750073,12.83561711",Chennai Circle,Chennai
